DateTime,AddedIPs,RemovedIPs
1581552180,0,1
1581555780,1,0
1581562980,1,0
1581577381,1,0
1581584581,0,1
1581591781,0,1
1581595381,1,1
1581598981,0,1
1581602581,1,0
1581606181,0,1
1581609781,0,3
1581616981,1,1
1581627781,1,0
1581634982,1,2
1581638582,0,2
1581642182,2,1
1581649382,0,1
1581652982,0,1
1581656582,1,0
1581660182,0,1
1581681782,1,1
1581703382,8,1
1581706983,1,1
1581710584,1,0
1581714183,0,1
1581717783,0,1
1581721383,1,0
1581724984,0,2
1581732184,1,0
1581735783,0,1
1581742984,0,2
1581746584,1,0
1581750184,3,0
1581753784,1,0
1581764585,1,1
1581768185,1,0
1581771784,2,0
1581775384,0,1
1581778984,1,0
1581789724,1,0
1581793385,1,2
1581796984,1,0
1581800524,1,0
1581804185,1,5
1581807785,54,0
1581811385,120,1
1581814984,26,0
1581818585,1,0
1581822185,20,1
1581825724,1,2
1581836585,1,0
1581847385,56,1
1581850985,1,2
1581858186,1,0
1581861786,0,1
1581868986,1,0
1581879786,1,3
1581883385,1,0
1581886985,2,0
1581897786,1,0
1581904986,2,0
1581908585,1,1
1581919387,1,0
1581922926,0,12
1581926586,1,8
1581937386,1,1
1581944587,0,2
1581948187,1,0
1581951787,0,1
1581955387,4,0
1581962587,0,1
1581966187,0,2
1581969788,1,0
1581973386,1,1
1581980587,1,0
1581984126,0,2
1581987787,0,2
1581991387,1,1
1581994986,1,0
1582005787,0,1
1582012988,0,252
1582016587,0,1
1582023788,0,1
1582027387,1,0
1582034528,2,0
1582038188,0,1
1582048928,1,0
1582052587,1,0
1582056188,1,1
1582070588,0,3
1582081388,0,2
1582088588,1,0
1582092128,1,0
1582102988,2,0
1582106588,1,2
1582110188,0,1
1582113728,1,2
1582117329,0,1
1582124528,0,1
1582128190,1,1
1582138988,1,1
1582142588,0,1
1582146188,4,0
1582149788,0,2
1582153388,1,0
1582156989,2,1
1582164189,1,3
1582167789,2,0
1582178589,0,2
1582189329,0,1
1582192989,1,3
1582196589,3,0
1582200189,1,0
1582210989,1,0
1582218189,0,1
1582221789,1,2
1582228990,2,0
1582236190,1,1
1582239790,0,2
1582246990,1,0
1582250590,1,3
1582254190,0,2
1582257790,0,2
1582261930,1,0
1582268590,0,1
1582275790,0,1
1582279330,0,3
1582282991,2,2
1582290191,0,1
1582297392,0,1
1582304592,1,0
1582311731,0,1
1582322593,4,0
1582326191,1,1
1582329792,3,0
1582333392,2,0
1582347792,1,1
1582354993,0,1
1582362133,0,1
1582369393,1,2
1582372991,1,0
1582376592,0,1
1582380132,1,0
1582387333,1,1
1582390992,1,1
1582398192,1,0
