DateTime,AddedIPs,RemovedIPs
1584529321,80,80
1584529922,80,80
1584531122,80,80
1584532321,80,80
1584532922,80,80
1584533521,80,80
1584534722,80,80
1584535321,80,80
1584536521,80,80
1584537721,80,80
1584538921,80,80
1584539521,80,80
1584540121,80,80
1584540722,80,80
1584541921,80,80
1584543122,79,79
1584543721,79,79
1584544921,77,77
1584545521,80,80
1584546122,80,80
1584547321,36,36
1584547922,22,22
1584549121,80,80
1584550321,80,80
1584550921,80,80
1584552121,79,79
1584552721,80,80
1584553321,80,80
1584554522,80,80
1584555721,80,80
1584556321,80,80
1584556921,80,80
1584557521,80,80
1584558721,80,80
1584559321,80,80
1584560521,74,74
1584561721,80,80
1584562921,80,80
1584563521,80,80
1584564121,80,80
1584565321,80,80
1584565921,80,80
1584566521,79,79
1584567121,79,79
1584568321,80,80
1584568921,80,80
1584569522,80,80
1584570121,80,80
1584570721,80,80
1584571321,80,80
1584572521,80,80
1584573722,80,80
1584574921,80,80
1584576121,80,80
1584577321,79,79
1584577921,78,78
1584579122,80,80
1584579721,80,80
1584580921,80,80
1584582122,80,80
1584582721,80,80
1584584521,80,80
1584585122,80,80
1584586322,78,78
1584586921,80,80
1584588121,80,80
1584588721,80,80
1584589321,80,80
1584590521,80,80
1584591121,80,80
1584591721,80,80
1584592921,80,80
1584594121,79,79
1584595321,79,79
1584596522,79,79
1584597121,80,80
1584598321,79,79
1584598921,80,80
1584599521,80,80
1584600121,80,80
1584600721,80,80
1584601321,30,30
1584603121,79,79
1584603721,80,80
1584604921,80,80
1584605521,80,80
1584606121,80,80
1584607321,80,80
1584607921,80,80
1584608522,80,80
1584609121,80,80
1584609721,80,80
1584610922,79,79
1584611522,80,80
1584612121,80,80
1584613321,80,80
1584614521,80,80
1584615722,80,80
1584616921,79,79
1584618121,69,69
1584619321,80,80
1584619921,80,80
1584620521,80,80
1584621121,80,80
1584621721,80,80
1584622321,80,80
1584623522,80,80
1584624121,80,80
1584624722,80,80
1584625321,80,80
1584626521,80,80
1584627121,80,80
1584628321,79,79
1584628921,80,80
1584630121,75,75
1584631322,80,80
1584631921,80,80
1584632521,80,80
1584633722,80,80
1584634922,79,79
1584635521,80,80
1584636721,80,80
1584637322,80,80
1584637921,80,80
1584639121,80,80
1584639721,80,80
1584640922,80,80
1584642122,72,72
1584643321,80,80
1584643921,80,80
1584645121,80,80
1584645721,80,80
1584646321,80,80
1584646921,80,80
1584648121,75,75
1584649321,71,71
1584649921,80,80
1584650521,80,80
1584651722,78,78
1584652322,80,80
1584653521,80,80
1584654121,80,80
1584655321,80,80
1584655921,80,80
1584657122,80,80
1584657721,80,80
1584658321,80,80
1584658921,79,79
1584660122,79,79
1584661322,80,80
1584661921,80,80
1584662521,80,80
1584663721,80,80
1584664322,80,80
1584664922,80,80
1584666121,80,80
1584667321,80,80
1584668521,80,80
1584669121,80,80
1584669721,80,80
1584670921,80,80
1584671521,80,80
1584672121,80,80
1584673321,79,79
1584673921,66,66
1584674522,80,80
1584675122,80,80
1584675721,80,80
1584676321,79,79
1584677521,80,80
1584678121,80,80
1584679322,80,80
1584679921,80,80
1584680521,80,80
1584681721,80,80
1584682321,23,23
1584682921,79,79
1584684121,79,79
1584685322,80,80
1584685921,79,79
1584686521,80,80
1584687721,80,80
1584688921,80,80
1584690121,78,78
1584691321,80,80
1584691921,80,80
1584692521,80,80
1584694321,78,78
1584694921,78,78
1584696121,80,80
1584696721,80,80
1584697921,76,76
1584698521,80,80
1584699121,80,80
1584699722,80,80
1584700321,80,80
1584701521,80,80
1584702121,80,80
1584703922,72,72
1584704521,80,80
1584706321,80,80
1584706921,80,80
1584707521,78,78
1584708121,80,80
1584708721,80,80
1584709321,80,80
1584710522,80,80
1584711121,80,80
1584711721,80,80
1584712321,80,80
1584712922,80,80
1584714121,80,80
1584714721,80,80
1584715321,80,80
1584716522,80,80
1584717721,74,74
1584718921,80,80
1584720121,69,69
1584720721,80,80
1584721922,79,79
1584722521,80,80
1584723722,80,80
1584724321,80,80
1584724921,80,80
1584725521,80,80
1584726121,80,80
1584726721,80,80
1584727321,80,80
1584728521,74,74
1584729121,80,80
1584729721,77,77
1584730321,80,80
1584731522,80,80
1584732121,80,80
1584732721,80,80
1584733921,79,79
1584734521,80,80
1584735721,79,79
1584736321,80,80
1584736921,80,80
1584738121,76,76
1584739322,79,79
1584739921,80,80
1584741121,79,79
1584741721,80,80
1584742321,80,80
1584742921,79,79
1584743522,80,80
1584744121,80,80
1584745321,80,80
1584746522,79,79
1584747122,79,79
1584747722,80,80
1584748922,80,80
1584749521,80,80
1584750121,80,80
1584750722,80,80
1584751921,80,80
1584752521,80,80
1584753721,80,80
1584754322,80,80
1584754922,80,80
1584756121,80,80
1584757321,75,75
1584757921,80,80
1584759121,79,79
1584759721,80,80
1584760921,80,80
1584761522,80,80
1584762122,80,80
1584763321,80,80
1584764521,78,78
1584765122,80,80
1584765721,80,80
1584766322,79,79
1584768121,79,79
1584768721,80,80
1584769321,80,80
1584770521,80,80
1584771122,21,21
1584771721,80,80
1584772921,79,79
1584774122,80,80
1584774722,79,79
1584775321,79,79
1584775921,80,80
