DateTime,Entries,UniqueIPs
1576992666,16094,16094
1577007150,16216,16216
1577021541,16189,16189
1577035907,16164,16164
1577050339,16162,16162
1577064735,16163,16163
1577079113,16125,16125
1577093478,16087,16087
1577107836,16032,16032
1577122195,15963,15963
1577136520,15898,15898
1577151074,16138,16138
1577165795,16566,16566
1577180407,16822,16822
1577194881,16961,16961
1577209340,17062,17062
1577224054,17270,17270
1577238389,17328,17328
1577252810,17411,17411
1577267228,17446,17446
1577281610,17440,17440
1577296017,17298,17298
1577310434,17398,17398
1577324798,17336,17336
1577339238,17339,17339
1577353516,17213,17213
1577368021,17168,17168
1577382344,17209,17209
1577396773,17238,17238
1577411155,17233,17233
1577425601,17306,17306
1577440118,17307,17307
1577454366,17265,17265
1577468601,17073,17073
1577483026,17086,17086
1577497459,17116,17116
1577511941,17065,17065
1577526282,17121,17121
1577540729,17124,17124
1577555091,17088,17088
1577569514,17106,17106
1577584072,17125,17125
1577598415,17073,17073
1577612607,16906,16906
1577626985,16915,16915
1577641360,16904,16904
1577655892,16882,16882
1577670124,16842,16842
1577684446,16771,16771
1577698701,16621,16621
1577713006,16509,16509
1577727416,16351,16351
1577741585,16163,16163
1577755961,16131,16131
1577770271,15999,15999
1577784595,15888,15888
1577798873,15769,15769
1577813278,15749,15749
1577827592,15647,15647
1577841977,15604,15604
1577856271,15468,15468
1577870637,15436,15436
1577885053,15445,15445
1577899401,15396,15396
1577913782,15369,15369
1577928112,15290,15290
1577942804,15676,15676
1577957282,15788,15788
1577971661,15751,15751
1577986032,15723,15723
1578000422,15685,15685
1578014845,15693,15693
1578029189,15649,15649
1578043573,15630,15630
1578057938,15590,15590
1578072330,15606,15606
1578086777,15681,15681
1578101176,15707,15707
1578115590,15727,15727
1578129998,15745,15745
1578144403,15757,15757
1578158848,15808,15808
1578173308,15857,15857
1578187781,15907,15907
1578202230,15956,15956
1578216638,15978,15978
1578231069,16038,16038
1578245507,16064,16064
1578259905,16059,16059
1578274326,16058,16058
1578288733,16079,16079
1578303172,16126,16126
1578317586,16126,16126
1578331993,16134,16134
1578346410,16151,16151
1578360956,16318,16318
1578375556,16574,16574
1578390095,16703,16703
1578404603,16785,16785
1578419064,16880,16880
1578433641,16926,16926
1578448043,17054,17054
1578462512,17160,17160
1578476919,17204,17204
1578491344,17285,17285
1578505988,17446,17446
1578520352,17560,17560
1578534887,17685,17685
1578549284,17687,17687
1578563698,17734,17734
1578578308,17797,17797
1578596367,17887,17887
1578614451,18013,18013
1578632546,18147,18147
1578650617,18249,18249
1578668696,18344,18344
1578686789,18422,18422
1578704816,18460,18460
1578722927,18540,18540
1578740922,18591,18591
1578758980,18643,18643
1578776958,18643,18643
1578794972,18687,18687
1578812963,18691,18691
1578831014,18806,18806
1578849087,18925,18925
1578867252,19112,19112
1578885625,19429,19429
1578903755,19684,19684
1578921866,19868,19868
1578939989,20044,20044
1578958092,20190,20190
1578976203,20305,20305
1578994024,20272,20272
1579012029,20329,20329
1579030029,20363,20363
1579048075,20440,20440
1579066100,20444,20444
1579084079,20456,20456
1579102074,20448,20448
1579120034,20404,20404
1579137933,20282,20282
1579155873,20211,20211
1579173854,20249,20249
1579191842,20230,20230
1579209732,20139,20139
1579227722,20153,20153
1579245768,20186,20186
1579263615,20080,20080
1579281542,20006,20006
1579299571,20064,20064
1579317599,20073,20073
1579335564,20063,20063
1579353570,20071,20071
1579371488,20015,20015
1579389432,19973,19973
1579407476,19982,19982
1579425527,20049,20049
1579443456,19961,19961
1579461325,19849,19849
1579479391,19878,19878
1579497349,19848,19848
1579515223,19747,19747
1579533132,19686,19686
1579551050,19604,19604
1579569042,19543,19543
1579587036,19528,19528
1579604978,19481,19481
1579622978,19461,19461
1579641005,19482,19482
1579658990,19452,19452
1579677054,19520,19520
1579695092,19577,19577
1579713195,19773,19773
1579731187,19764,19764
1579749263,19849,19849
1579767247,19832,19832
1579785217,19815,19815
1579803186,19833,19833
1579821217,19883,19883
1579839240,19898,19898
1579857242,19940,19940
1579875224,19934,19934
1579893271,19989,19989
1579911296,20028,20028
1579929349,20089,20089
1579947310,20041,20041
1579965293,20000,20000
1579983301,20007,20007
1580001286,19982,19982
1580019372,19859,19859
1580037061,19732,19732
1580054935,19524,19524
1580072913,19518,19518
1580091015,19640,19640
1580109031,19712,19712
1580127086,19789,19789
1580145144,19818,19818
1580163101,19837,19837
1580181097,19807,19807
1580199023,19750,19750
1580216942,19651,19651
1580234832,19582,19582
1580252824,19534,19534
1580270768,19468,19468
1580288708,19431,19431
1580306643,19332,19332
1580324567,19237,19237
1580342551,19180,19180
1580360429,19010,19010
1580378261,18823,18823
1580392627,18795,18795
1580407003,18740,18740
1580421322,18655,18655
1580435843,18592,18592
1580450054,18518,18518
1580464352,18452,18452
1580478700,18407,18407
1580493063,18319,18319
1580507545,18294,18294
1580521932,18362,18362
1580536371,18379,18379
1580550783,18406,18406
1580565207,18404,18404
1580579631,18356,18356
1580593917,18341,18341
1580608316,18323,18323
