DateTime,AddedIPs,RemovedIPs
1582909688,0,3
1582913281,0,1
1582916892,3,0
1582920471,1,1
1582924262,0,3
1582927686,2,0
1582931268,0,3
1582935013,2,3
1582938485,3,1
1582942082,2,1
1582945678,0,1
1582949266,0,1
1582956469,4,3
1582960079,1,1
1582963670,0,2
1582970889,2,2
1582974486,3,2
1582981697,3,0
1582985283,1,2
1582989021,1,0
1582992489,2,1
1582996094,2,2
1582999692,1,0
1583003296,37,2
1583006933,34,0
1583010688,1,0
1583014122,3,3
1583017723,1,2
1583021447,1,1
1583024931,4,0
1583028518,3,0
1583032119,1,0
1583035741,2,0
1583039341,1,0
1583050140,0,2
1583057368,78,2
1583060958,0,3
1583071765,1,1
1583075361,1,3
1583078970,2,1
1583082606,70,2
1583086190,1,2
1583093406,2,2
1583100589,1,3
1583104199,4,0
1583107932,1,1
1583111422,0,3
1583114987,2,1
1583118603,1,1
1583122210,0,1
1583125806,1,1
1583129389,1,2
1583132981,0,3
1583143799,48,5
1583147428,25,4
1583154684,56,3
1583161866,1,3
1583165483,0,1
1583169077,0,2
1583172660,2,2
1583176258,2,3
1583179874,2,1
1583183639,2,0
1583187069,2,3
1583190659,1,1
1583197872,3,2
1583201460,2,2
1583205059,2,0
1583208678,1,1
1583212281,2,0
1583215860,2,1
1583219464,3,2
1583223082,1,0
1583226823,2,0
1583233884,30,1
1583241102,21,2
1583244688,3,1
1583248314,50,1
1583251928,4,3
1583255527,2,2
1583259115,2,1
1583262713,2,1
1583266330,0,1
1583270110,3,1
1583273509,1,1
1583277114,3,3
1583280871,1,2
1583284332,1,1
1583287919,1,0
1583291524,4,1
1583295129,3,0
1583302338,4,0
1583305919,0,2
1583313304,2,2
1583316743,2,0
1583323929,5,0
1583327551,3,0
1583331168,48,1
1583334750,2,0
1583338354,2,4
1583341964,1,1
1583345690,1,2
1583349155,1,1
1583352754,0,1
1583356370,3,1
1583360093,38,46
1583363554,6,3
1583370768,0,4
1583374343,37,52
1583377971,1,2
1583385169,2,1
1583392351,0,1
1583396084,0,1
1583399571,10,1
1583403156,1,0
1583406761,2,0
1583410351,0,1
1583417573,38,1
1583421177,1,0
1583428394,2,0
1583432120,3,2
1583435573,1,2
1583439181,1,4
1583442789,1,0
1583446383,5,2
1583449995,2,5
1583453573,1,1
1583457187,2,3
1583460785,1,2
1583464375,1,1
1583468129,1,0
1583471597,1,2
1583478769,1,1
1583482382,1,0
1583489586,2,1
1583493174,2,2
1583496789,1,0
1583500401,2,0
1583504150,24,1
1583507586,0,2
1583511194,4,2
1583514816,2,1
1583518397,3,1
1583522019,0,1
1583525593,1,2
1583529211,2,3
1583532793,1,1
1583536397,4,1
1583540015,1,1
1583543615,3,1
1583547206,2,2
1583550797,0,2
1583554403,2,3
1583561588,1,5
1583565187,0,1
1583568805,20,0
1583572415,6,0
1583576026,8,2
1583579599,4,4
1583583198,2,0
1583586818,4,0
1583590418,27,1
1583594036,1,1
1583597623,7,0
1583604825,2,2
1583608419,1,30
1583612165,2,37
1583619194,0,2
1583622798,3,1
1583626397,0,1
1583633591,1,9
1583637193,0,1
1583648003,0,2
1583651586,0,1
1583658792,0,27
1583662380,0,2
1583669570,2,0
1583673189,0,1
1583676778,1,0
1583680375,1,0
1583683997,2,3
1583687744,2,30
1583691167,4,1
1583694767,1,0
1583698514,2,0
1583701977,1,0
1583705572,16,1
1583709184,9,1
1583712795,1,2
1583716394,1,0
1583719983,1,2
1583723572,0,2
1583727190,0,2
1583730958,0,1
1583734370,1,2
1583737973,1,2
1583745172,1,24
1583748754,1,7
1583752353,0,20
1583755929,0,31
1583759507,1,28
1583766687,0,1
1583770305,5,0
1583774074,1,2
1583777489,1,2
1583781093,2,3
1583784824,3,3
1583788306,5,0
1583791902,16,2
1583795518,12,1
1583799128,2,2
1583802727,1,4
1583806319,1,2
1583809917,0,3
1583813528,2,0
1583817300,1,2
1583820723,2,0
1583828056,0,1
1583831518,1,2
1583835114,1,1
1583838712,0,13
1583842300,1,16
1583846166,1,1
1583849501,2,8
1583853089,2,27
1583856690,3,3
1583860508,4,2
1583863911,5,2
1583867502,2,2
1583871095,1,2
1583874707,0,2
1583878294,2,0
1583882047,1,4
1583885493,25,2
1583889109,3,2
1583892693,0,2
1583896297,2,0
1583899907,2,6
1583903663,2,1
1583907083,0,1
1583910714,2,1
1583914284,1,0
1583917902,0,2
1583921502,0,2
1583925088,2,3
1583928680,1,4
1583932280,0,1
1583936070,0,29
1583939465,1,5
1583943065,2,1
1583946660,2,3
1583950253,2,0
1583957454,5,5
1583961058,1,2
1583964661,29,24
1583971876,10,5
1583975463,2,0
1583979068,30,30
1583982679,0,1
1583986271,2,0
1583990013,0,1
1583997068,1,1
1584007882,1,1
1584015071,2,0
1584018681,0,1
1584022257,1,30
1584025881,32,0
1584029457,1,1
1584033059,1,2
